frame_idx,timestamp_s,tap_idx,range_m,magnitude,threshold,range_rate_m_s
740,7.332471,10,1.5,714.727478,529.525416,0.1748
740,7.332471,12,1.8,205.060028,198.955049,0.2156
741,7.342619,10,1.5,717.325745,644.227717,0.1701
742,7.352766,10,1.5,780.447388,718.754906,0.1542
742,7.352766,12,1.8,256.699829,186.045071,0.0777
743,7.363093,10,1.5,729.569885,565.126332,0.1041
743,7.363093,12,1.8,256.158691,173.361311,0.1288
744,7.373421,10,1.5,635.567871,576.381694,0.1151
744,7.373421,12,1.8,234.026749,149.765121,0.2351
745,7.383749,10,1.5,468.870239,425.978628,0.1717
745,7.383749,12,1.8,185.660217,183.73719,0.187
747,7.403465,10,1.5,234.550156,206.592141,0.3774
750,7.433319,12,1.8,207.386383,182.28256,0.0955
751,7.443551,10,1.5,617.334778,548.627844,0.1522
751,7.443551,12,1.8,230.197067,204.119,0.1346
752,7.453783,10,1.5,597.287292,579.996722,0.1407
752,7.453783,12,1.8,232.803421,201.075996,0.1915
753,7.463943,10,1.5,648.270813,587.99475,0.14
753,7.463943,12,1.8,205.192963,193.808448,0.2291
755,7.484264,10,1.5,472.810333,440.958226,0.0986
757,7.503788,10,1.5,417.75705,372.408859,-0.0213
758,7.513151,10,1.5,454.874542,301.647637,0.0226
758,7.513151,12,1.8,152.48848,86.283999,0.1557
759,7.52369,10,1.5,516.389954,263.973551,0.1179
759,7.52369,12,1.8,148.543015,111.943242,0.2536
760,7.53423,12,1.8,117.390434,97.946035,0.0125
761,7.54477,12,1.8,87.018372,86.845572,0.0026
762,7.555309,10,1.5,481.052795,361.14649,-0.0441
763,7.565243,10,1.5,653.373413,362.427131,0.0508
763,7.565243,12,1.8,166.340683,151.051652,0.2556
764,7.575178,10,1.5,812.919312,514.094402,0.1643
764,7.575178,12,1.8,201.334869,169.592731,0.3033
765,7.585112,10,1.5,811.82135,627.510671,0.1966
774,7.673382,10,1.5,322.690399,309.885243,0.283
788,7.812201,10,1.5,527.081726,429.662629,0.3794
788,7.812201,12,1.8,166.408417,144.133604,-0.0482
790,7.832531,10,1.5,494.285309,458.954798,0.4595
792,7.852861,11,1.65,615.375732,355.698344,0.3878
793,7.862984,11,1.65,692.925781,551.578836,0.362
794,7.873108,11,1.65,631.024475,542.061871,0.3855
797,7.90314,10,1.5,449.280487,325.622671,0.5627
798,7.912925,12,1.8,143.120483,132.483164,0.5923
810,8.027941,12,1.8,589.178406,191.988049,-0.614
825,8.177015,13,1.95,119.987358,116.685277,0.7532
882,8.751633,13,1.95,373.753418,343.83583,0.4124
882,8.751633,15,2.25,102.881615,88.718491,0.3535
