alg,clutter_mode,pfa,num_ref,num_guard,cluster_gap,merge_tol,nms_sep,max_peaks,multi_pct,multi_frames,total_peaks,peaks_per_frame,median_tap_sep,sep_pass_pct
GO,mti,0.05,8,2,0,2,2,4,4.5240053681977574,1045,11153,0.48283475475128795,3,100.0
OS,max_path,0.02,4,1,1,0,2,6,0.0,0,31,0.0013420494393696697,0,0.0
GO,max_path,0.05,8,2,1,0,0,6,1.1429066193341704,264,7840,0.33940863240832936,33,100.0
CA,max_path,0.005,4,1,1,2,1,4,0.0,0,747,0.032339062297069135,0,0.0
CA,mean,0.05,4,1,0,0,2,6,56.543573314862115,13061,39567,1.7129312957270877,8,100.0
GO,max_path,0.05,4,2,0,1,2,4,0.8138880471016061,188,7090,0.30693969435906315,30,100.0
GO,max_path,0.01,6,1,1,2,2,4,0.0,0,810,0.035066453093207495,0,0.0
OS,mean,0.005,4,1,1,2,1,6,0.0,0,1,4.32919173990216e-05,0,0.0
CA,mti,0.005,4,2,1,1,2,4,1.4286332741677128,330,3937,0.17044027879994805,2,100.0
OS,max_path,0.01,4,2,0,0,0,4,0.0,0,115,0.004978570500887484,0,0.0
OS,mti,0.05,6,2,0,0,0,6,40.819948915537466,9429,29465,1.2755963461621715,3,90.0396432111001
OS,max_path,0.005,4,2,0,1,2,4,0.0,0,8,0.0003463353391921728,0,0.0
CA,mean,0.01,8,1,0,1,1,4,14.117494263820944,3261,13825,0.5985107580414737,2,100.0
CA,mean,0.02,8,1,1,2,2,6,4.610589202995801,1065,14969,0.6480367115459543,3,100.0
CA,mti,0.01,6,1,1,0,2,6,4.22962032988441,977,7118,0.3081518680462358,2,100.0
CA,max_path,0.02,6,1,1,1,2,6,1.757651846400277,406,12301,0.5325338759253647,18,100.0
OS,mti,0.02,8,1,0,1,0,6,28.343218321139442,6547,23461,1.0156716740984457,3,99.81891087828224
CA,mean,0.01,6,2,1,1,1,6,24.87120654573791,5745,17568,0.7605524048660115,2,100.0
GO,mti,0.005,8,2,1,0,2,6,0.2857266548335426,66,740,0.03203601887527598,2,100.0
CA,mti,0.005,6,2,1,1,0,6,3.9828564007099874,920,6161,0.26672150309537207,2,100.0
CA,mean,0.01,4,1,0,2,2,6,0.5887700766266938,136,5554,0.24044330923416599,3,100.0
GO,max_path,0.01,8,1,0,2,2,6,0.0,0,841,0.036408502532577165,0,0.0
OS,mti,0.005,8,1,1,0,0,4,7.537122819169661,1741,10183,0.44084159487423696,2,84.68981217985203
OS,mti,0.05,4,2,1,0,1,4,2.7663535217974804,639,4891,0.21174076799861466,2,90.78341013824885
OS,max_path,0.01,8,2,1,1,1,6,5.524048660115157,1276,19796,0.8570067968310316,11,100.0
CA,mti,0.005,8,1,0,2,2,4,0.3679812978916836,85,3717,0.1609160569721633,3,100.0
CA,mti,0.05,4,1,0,0,1,4,45.352612667215034,10476,34073,1.4750855015368631,11,91.5675389902194
CA,mti,0.02,6,1,1,1,0,6,12.481059786137928,2883,13740,0.5948309450625568,2,100.0
CA,max_path,0.005,4,1,0,2,2,6,0.0,0,747,0.032339062297069135,0,0.0
OS,max_path,0.05,6,1,0,1,2,4,17.186891207411577,3970,22473,0.9728992597082124,17,100.0
CA,mti,0.01,4,2,0,2,2,6,2.030390926014113,469,7449,0.3224814927053119,9,100.0
OS,mti,0.005,4,2,1,1,2,4,0.0,0,9,0.00038962725659119445,0,0.0
GO,mti,0.05,4,1,1,2,2,6,1.1255898523745618,260,4902,0.2122169790900039,12,100.0
CA,mean,0.005,4,1,1,0,0,4,0.9827265249577903,227,1775,0.07684315338326335,2,51.31578947368421
CA,max_path,0.01,8,2,0,2,2,6,0.216459586995108,50,7347,0.3180657171306117,33,100.0
OS,max_path,0.02,4,2,1,0,1,4,0.0,0,936,0.04052123468548422,0,0.0
GO,mean,0.005,8,1,1,1,1,4,0.05627949261872808,13,1687,0.07303346465214944,2,100.0
CA,max_path,0.05,6,1,0,1,1,6,19.650201307415905,4539,23655,1.024070306073856,20,100.0
GO,mti,0.05,6,2,0,2,0,4,3.679812978916836,850,10184,0.440884886791636,3,100.0
CA,max_path,0.02,8,1,1,0,1,4,0.9654097579981817,223,10854,0.4698904714489805,33,100.0
OS,mean,0.005,4,1,0,0,0,4,0.0,0,1,4.32919173990216e-05,0,0.0
GO,mean,0.05,6,2,0,2,1,6,5.857396424087622,1353,13413,0.5806744880730768,11,100.0
CA,mean,0.02,4,2,0,2,2,4,13.169401272782371,3042,19429,0.8411186631455907,12,100.0
GO,max_path,0.005,6,1,1,1,0,4,0.0,0,190,0.008225464305814105,0,0.0
OS,mti,0.005,4,2,1,1,2,6,0.0,0,9,0.00038962725659119445,0,0.0
GO,max_path,0.005,6,1,1,2,0,4,0.0,0,190,0.008225464305814105,0,0.0
CA,mti,0.005,6,1,0,0,1,4,1.1299190441144638,261,3118,0.13498419845014936,2,95.40229885057471
CA,mean,0.005,8,2,0,2,2,4,1.9351487077362657,447,10215,0.4422269362310057,3,100.0
CA,max_path,0.05,8,2,0,2,0,4,13.24732672410061,3060,19837,0.8587817654443916,31,100.0
CA,mean,0.02,8,1,1,0,1,6,30.070565825360404,6946,21025,0.9102125633144292,2,74.00196105897184
GO,mti,0.01,6,1,0,0,0,6,0.0432919173990216,10,406,0.01757651846400277,2,70.0
GO,mean,0.01,6,2,1,1,0,6,4.575955669076583,1057,5081,0.21996623230442877,2,100.0
GO,max_path,0.01,4,2,1,1,1,4,0.0,0,286,0.012381488376120178,0,0.0
CA,mean,0.05,4,2,0,1,2,4,68.06788172648167,15723,46316,2.0051084462530846,10,100.0
CA,mti,0.01,6,1,1,0,0,6,4.502359409498247,1040,7182,0.31092255075977315,2,93.9221272554606
OS,max_path,0.01,8,1,0,1,0,6,4.5716264773366815,1056,20081,0.8693449932897528,6,100.0
