frame_idx,timestamp_s,tap_idx,range_m,magnitude,threshold,range_rate_m_s
409,0.762497,10,1.5,3801.179443,3535.33156,1.0099
410,0.764377,10,1.5,6282.208496,5046.67037,-0.7973
410,0.764377,10,1.5,5459.500977,5232.425676,-0.8505
410,0.764377,10,1.5,3802.707275,3426.981993,0.9568
410,0.764377,10,1.5,3801.179443,3535.33156,1.0099
411,0.766957,10,1.5,6282.208496,5046.67037,-0.7973
411,0.766957,10,1.5,5459.500977,5232.425676,-0.8505
411,0.766957,10,1.5,3802.707275,3426.981993,0.9568
411,0.766957,10,1.5,3801.179443,3535.33156,1.0099
412,0.769536,10,1.5,6282.208496,5046.67037,-0.7973
412,0.769536,10,1.5,5459.500977,5232.425676,-0.8505
412,0.769536,10,1.5,3802.707275,3426.981993,0.9568
412,0.769536,10,1.5,3801.179443,3535.33156,1.0099
413,0.772116,10,1.5,6282.208496,5046.67037,-0.7973
413,0.772116,10,1.5,5459.500977,5232.425676,-0.8505
413,0.772116,10,1.5,3802.707275,3426.981993,0.9568
413,0.772116,10,1.5,3801.179443,3535.33156,1.0099
414,0.774695,10,1.5,6282.208496,5046.67037,-0.7973
414,0.774695,10,1.5,5459.500977,5232.425676,-0.8505
414,0.774695,10,1.5,3802.707275,3426.981993,0.9568
414,0.774695,10,1.5,3801.179443,3535.33156,1.0099
415,0.775285,10,1.5,6282.208496,5046.67037,-0.7973
415,0.775285,10,1.5,5459.500977,5232.425676,-0.8505
415,0.775285,10,1.5,3802.707275,3426.981993,0.9568
415,0.775285,10,1.5,3801.179443,3535.33156,1.0099
416,0.775875,10,1.5,6282.208496,5046.67037,-0.7973
416,0.775875,10,1.5,5459.500977,5232.425676,-0.8505
416,0.775875,10,1.5,3802.707275,3426.981993,0.9568
416,0.775875,10,1.5,3801.179443,3535.33156,1.0099
417,0.776465,10,1.5,6282.208496,5046.67037,-0.7973
417,0.776465,10,1.5,5459.500977,5232.425676,-0.8505
417,0.776465,10,1.5,3802.707275,3426.981993,0.9568
417,0.776465,10,1.5,3801.179443,3535.33156,1.0099
418,0.777056,10,1.5,6282.208496,5046.67037,-0.7973
418,0.777056,10,1.5,5459.500977,5232.425676,-0.8505
418,0.777056,10,1.5,3802.707275,3426.981993,0.9568
418,0.777056,10,1.5,3801.179443,3535.33156,1.0099
419,0.778902,10,1.5,6282.208496,5046.67037,-0.7973
419,0.778902,10,1.5,5459.500977,5232.425676,-0.8505
419,0.778902,10,1.5,3802.707275,3426.981993,0.9568
419,0.778902,10,1.5,3801.179443,3535.33156,1.0099
420,0.780749,10,1.5,6282.208496,5046.67037,-0.7973
420,0.780749,10,1.5,5459.500977,5232.425676,-0.8505
420,0.780749,10,1.5,3802.707275,3426.981993,0.9568
420,0.780749,10,1.5,3801.179443,3535.33156,1.0099
421,0.782596,10,1.5,6282.208496,5046.67037,-0.7973
421,0.782596,10,1.5,5459.500977,5232.425676,-0.8505
421,0.782596,10,1.5,3802.707275,3426.981993,0.9568
421,0.782596,10,1.5,3801.179443,3535.33156,1.0099
422,0.784443,10,1.5,6282.208496,5046.67037,-0.7973
422,0.784443,10,1.5,5459.500977,5232.425676,-0.8505
422,0.784443,10,1.5,3802.707275,3426.981993,0.9568
422,0.784443,10,1.5,3801.179443,3535.33156,1.0099
423,0.786979,10,1.5,6282.208496,5046.67037,-0.7973
423,0.786979,10,1.5,5459.500977,5232.425676,-0.8505
423,0.786979,10,1.5,3802.707275,3426.981993,0.9568
423,0.786979,10,1.5,3801.179443,3535.33156,1.0099
424,0.789515,10,1.5,6282.208496,5046.67037,-0.7973
424,0.789515,10,1.5,5459.500977,5232.425676,-0.8505
424,0.789515,10,1.5,3802.707275,3426.981993,0.9568
424,0.789515,10,1.5,3801.179443,3535.33156,1.0099
425,0.79205,10,1.5,6282.208496,5046.67037,-0.7973
425,0.79205,10,1.5,5459.500977,5232.425676,-0.8505
425,0.79205,10,1.5,3802.707275,3426.981993,0.9568
425,0.79205,10,1.5,3801.179443,3535.33156,1.0099
426,0.794586,10,1.5,6282.208496,5046.67037,-0.7973
426,0.794586,10,1.5,5459.500977,5232.425676,-0.8505
426,0.794586,10,1.5,3802.707275,3426.981993,0.9568
426,0.794586,10,1.5,3801.179443,3535.33156,1.0099
427,0.797126,10,1.5,6282.208496,5046.67037,-0.7973
427,0.797126,10,1.5,5459.500977,5232.425676,-0.8505
427,0.797126,10,1.5,3802.707275,3426.981993,0.9568
427,0.797126,10,1.5,3801.179443,3535.33156,1.0099
428,0.799665,10,1.5,6282.208496,5046.67037,-0.7973
428,0.799665,10,1.5,5459.500977,5232.425676,-0.8505
428,0.799665,10,1.5,3802.707275,3426.981993,0.9568
428,0.799665,10,1.5,3801.179443,3535.33156,1.0099
429,0.802205,10,1.5,6282.208496,5046.67037,-0.7973
429,0.802205,10,1.5,5459.500977,5232.425676,-0.8505
429,0.802205,10,1.5,3802.707275,3426.981993,0.9568
429,0.802205,10,1.5,3801.179443,3535.33156,1.0099
430,0.804744,10,1.5,6282.208496,5046.67037,-0.7973
430,0.804744,10,1.5,5459.500977,5232.425676,-0.8505
430,0.804744,10,1.5,3802.707275,3426.981993,0.9568
430,0.804744,10,1.5,3801.179443,3535.33156,1.0099
431,0.805362,10,1.5,6282.208496,5046.67037,-0.7973
